stockid,stocknm,stockle,stockkin
1101,台泥,市,水泥
1102,亞泥,市,水泥
1103,嘉泥,市,水泥
1104,環泥,市,水泥
1108,幸福,市,水泥
1109,信大,市,水泥
1110,東泥,市,水泥
1201,味全,市,食品
1203,味王,市,食品
1210,大成,市,食品
1213,大飲,市,食品
1215,卜蜂,市,食品
1216,統一,市,食品
1217,愛之味,市,食品
1218,泰山,市,食品
1219,福壽,市,食品
1220,台榮,市,食品
1225,福懋油,市,食品
1227,佳格,市,食品
1229,聯華,市,食品
1231,聯華食,市,食品
1232,大統益,市,食品
1233,天仁,市,食品
1234,黑松,市,食品
1235,興泰,市,食品
1236,宏亞,市,食品
1256,鮮活果汁-KY,市,食品
1301,台塑,市,塑膠
1303,南亞,市,塑膠
1304,台聚,市,塑膠
1305,華夏,市,塑膠
1307,三芳,市,塑膠
1308,亞聚,市,塑膠
1309,台達化,市,塑膠
1310,台苯,市,塑膠
1312,國喬,市,塑膠
1313,聯成,市,塑膠
1314,中石化,市,塑膠
1315,達新,市,塑膠
1316,上曜,市,營建
1319,東陽,市,汽車零組件
1321,大洋,市,塑膠
1323,永裕,市,塑膠
1324,地球,市,塑膠
1325,恆大,市,塑膠
1326,台化,市,塑膠
1337,再生-KY,市,塑膠
1338,廣華-KY,市,汽車零組件
1339,昭輝,市,汽車零組件
1340,勝悅-KY,市,塑膠
1341,富林-KY,市,塑膠
1342,八貫,市,塑膠
1402,遠東新,市,紡織纖維
1409,新纖,市,紡織纖維
1410,南染,市,紡織纖維
1413,宏洲,市,紡織纖維
1414,東和,市,紡織纖維
1416,廣豐,市,其他
1417,嘉裕,市,紡織纖維
1418,東華,市,紡織纖維
1419,新紡,市,紡織纖維
1423,利華,市,紡織纖維
1432,大魯閣,市,百貨
1434,福懋,市,紡織纖維
1435,中福,市,其他
1436,華友聯,市,營建
1437,勤益控,市,其他
1438,三地開發,市,營建
1439,中和,市,紡織纖維
1440,南紡,市,紡織纖維
1441,大東,市,紡織纖維
1442,名軒,市,營建
1443,立益,市,航運
1444,力麗,市,紡織纖維
1445,大宇,市,紡織纖維
1446,宏和,市,紡織纖維
1447,力鵬,市,紡織纖維
1449,佳和,市,紡織纖維
1451,年興,市,紡織纖維
1452,宏益,市,紡織纖維
1453,大將,市,營建
1454,台富,市,紡織纖維
1455,集盛,市,紡織纖維
1456,怡華,市,營建
1457,宜進,市,紡織纖維
1459,聯發,市,紡織纖維
1460,宏遠,市,紡織纖維
1463,強盛,市,紡織纖維
1464,得力,市,紡織纖維
1465,偉全,市,紡織纖維
1466,聚隆,市,紡織纖維
1467,南緯,市,紡織纖維
1468,昶和,市,紡織纖維
1470,大統新創,市,紡織纖維
1471,首利,市,電源供應器
1472,三洋紡,市,紡織纖維
1473,台南,市,紡織纖維
1474,弘裕,市,紡織纖維
1475,業旺,市,紡織纖維
1476,儒鴻,市,紡織纖維
1477,聚陽,市,紡織纖維
1503,士電,市,電機
1504,東元,市,電機
1506,正道,市,汽車零組件
1507,永大,市,電機
1512,瑞利,市,汽車零組件
1513,中興電,市,電機
1514,亞力,市,電機
1515,力山,市,電機
1516,川飛,市,其他
1517,利奇,市,電機
1519,華城,市,電機
1521,大億,市,汽車零組件
1522,堤維西,市,汽車零組件
1524,耿鼎,市,汽車零組件
1525,江申,市,汽車零組件
1526,日馳,市,電機
1527,鑽全,市,電機
1528,恩德,市,電機
1529,樂士,市,電機
1530,亞崴,市,電機
1531,高林股,市,電機
1532,勤美,市,鋼鐵
1533,車王電,市,汽車零組件
1535,中宇,市,電機
1536,和大,市,汽車零組件
1537,廣隆,市,汽車零組件
1538,正峰,市,電機
1539,巨庭,市,電機
1540,喬福,市,電機
1541,錩泰,市,電機
1558,伸興,市,電機
1560,中砂,市,電機
1568,倉佑,市,汽車零組件
1582,信錦,市,連接元件
1583,程泰,市,電機
1587,吉茂,市,電機
1589,永冠-KY,市,電機
1590,亞德客-KY,市,電機
1592,英瑞-KY,市,汽車工業
1597,直得,市,電機
1598,岱宇,市,生技
1603,華電,市,電線電纜
1604,聲寶,市,消費電子
1605,華新,市,電線電纜
1608,華榮,市,電線電纜
1609,大亞,市,電線電纜
1611,中電,市,電機
1612,宏泰,市,電線電纜
1614,三洋電,市,電機
1615,大山,市,電線電纜
1616,億泰,市,電線電纜
1617,榮星,市,電線電纜
1618,合機,市,電線電纜
1626,艾美特-KY,市,電機
1701,中化,市,生技
1702,南僑,市,食品
1707,葡萄王,市,生技
1708,東鹼,市,化學工業
1709,和益,市,化學工業
1710,東聯,市,塑膠
1711,永光,市,化學工業
1712,興農,市,生技
1713,國化,市,化學工業
1714,和桐,市,化學工業
1717,長興,市,化學工業
1718,中纖,市,塑膠
1720,生達,市,生技
1721,三晃,市,化學工業
1722,台肥,市,化學工業
1723,中碳,市,化學工業
1724,台硝,市,化學工業
1725,元禎,市,化學工業
1726,永記,市,化學工業
1727,中華化,市,化學工業
1730,花仙子,市,化學工業
1731,美吾華,市,生技
1732,毛寶,市,化學工業
1733,五鼎,市,生技
1734,杏輝,市,生技
1735,日勝化,市,塑膠
1736,喬山,市,生技
1737,臺鹽,市,食品
1760,寶齡富錦,市,生技
1762,中化生,市,生技
1773,勝一,市,化學工業
1776,展宇,市,化學工業
1783,和康生,市,生技
1786,科妍,市,生技
1789,神隆,市,生技
1795,美時,市,生技
1802,台玻,市,玻璃陶瓷
1805,寶徠,市,營建
1806,冠軍,市,玻璃陶瓷
1808,潤隆,市,營建
1809,中釉,市,玻璃陶瓷
1810,和成,市,玻璃陶瓷
1817,凱撒衛,市,玻璃陶瓷
1903,士紙,市,紙業
1904,正隆,市,紙業
1905,華紙,市,紙業
1906,寶隆,市,紙業
1907,永豐餘,市,紙業
1909,榮成,市,紙業
2002,中鋼,市,鋼鐵
2006,東和鋼鐵,市,鋼鐵
2007,燁興,市,鋼鐵
2008,高興昌,市,鋼鐵
2009,第一銅,市,鋼鐵
2010,春源,市,鋼鐵
2012,春雨,市,鋼鐵
2013,中鋼構,市,鋼鐵
2014,中鴻,市,鋼鐵
2015,豐興,市,鋼鐵
2017,官田鋼,市,鋼鐵
2020,美亞,市,鋼鐵
2022,聚亨,市,鋼鐵
2023,燁輝,市,鋼鐵
2024,志聯,市,鋼鐵
2025,千興,市,鋼鐵
2027,大成鋼,市,鋼鐵
2028,威致,市,鋼鐵
2029,盛餘,市,鋼鐵
2030,彰源,市,鋼鐵
2031,新光鋼,市,鋼鐵
2032,新鋼,市,鋼鐵
2033,佳大,市,鋼鐵
2034,允強,市,鋼鐵
2038,海光,市,鋼鐵
2049,上銀,市,電機
2059,川湖,市,其他
2062,橋椿,市,其他
2069,運錩,市,鋼鐵
2101,南港,市,橡膠
2102,泰豐,市,橡膠
2103,台橡,市,橡膠
2104,國際中橡,市,橡膠
2105,正新,市,橡膠
2106,建大,市,橡膠
2107,厚生,市,橡膠
2108,南帝,市,橡膠
2109,華豐,市,橡膠
2114,鑫永銓,市,橡膠
2115,六暉-KY,市,汽車零組件
2201,裕隆,市,汽車
2204,中華,市,汽車
2206,三陽工業,市,汽車
2207,和泰車,市,汽車
2208,台船,市,航運
2211,長榮鋼,市,鋼鐵
2227,裕日車,市,汽車
2228,劍麟,市,汽車零組件
